Date,Start Time (UTC),End Time (UTC)
2025-08-15,0:14:07,1:39:39
2025-08-15,23:51:28,23:59:59
2025-08-16,0:00:00,2:03:38
2025-08-16,3:23:47,5:15:36
2025-08-16,20:33:58,22:24:17
2025-08-16,23:29:26,23:59:50
2025-08-17,0:00:01,0:58:11
2025-08-17,3:18:25,5:16:11
2025-08-22,23:32:06,23:59:58
2025-08-23,0:00:00,1:12:40
2025-08-23,2:32:22,3:59:35
2025-08-23,15:08:01,17:03:37
2025-08-23,20:03:01,21:10:11
2025-08-26,21:01:55,22:58:18
2025-08-27,0:28:53,2:27:41
2025-08-27,23:12:46,23:59:57
2025-08-28,0:00:07,0:34:13
2025-08-29,22:14:03,23:59:57
2025-08-30,0:00:08,0:03:52
2025-08-30,1:34:53,3:07:52
2025-08-30,19:01:59,19:16:04
2025-08-31,19:11:03,19:22:23
2025-09-01,19:08:07,19:23:06
2025-09-26,19:27:24,20:00:15
2025-10-08,23:04:16,23:28:49
2025-10-09,18:17:57,18:33:31
2025-10-09,22:14:23,23:21:55
2025-10-10,1:38:32,3:23:01
2025-10-10,22:17:10,23:59:58
2025-10-11,0:00:00,0:11:49
2025-10-11,1:24:33,3:22:24
2025-10-11,22:24:09,23:59:59
2025-10-12,0:00:00,0:27:06
2025-10-12,1:31:02,3:26:12
2025-10-12,19:13:38,21:07:58
2025-10-12,22:18:27,23:59:59
2025-10-13,0:00:01,0:19:18
2025-10-13,1:19:58,3:25:05
2025-10-13,16:17:13,17:34:48
2025-10-15,22:15:11,23:01:00
2025-10-16,0:09:24,0:57:05
2025-10-17,0:17:42,2:09:52
2025-10-17,2:53:44,3:17:09
2025-10-17,23:07:27,23:59:51
2025-10-18,0:00:05,1:08:26
2025-10-18,2:03:09,2:03:44
2025-10-18,16:55:04,18:57:56
2025-10-26,0:34:56,1:15:06
2025-10-26,1:28:01,2:44:18
2025-10-26,3:37:03,6:00:27
2025-10-26,23:02:53,23:59:58
2025-10-27,0:00:15,1:06:18
2025-10-27,2:03:27,3:58:33
2025-10-27,4:49:08,6:07:05
2025-10-29,23:25:39,23:59:56
2025-10-30,0:00:03,1:38:25
2025-10-30,2:50:22,3:59:21
2025-10-30,4:07:35,4:52:39
2025-11-01,23:37:46,23:59:59
2025-11-02,0:00:00,1:34:35
2025-11-02,2:43:20,3:43:56
2025-11-02,3:49:55,4:49:34
2025-11-03,0:55:22,2:56:34
2025-11-03,4:35:49,6:23:37
2025-11-06,21:17:09,21:31:38
2025-11-08,18:19:41,19:09:04
2025-11-09,3:09:46,5:24:33
2025-11-09,5:58:49,5:59:44
2025-11-11,17:18:14,17:37:51
2025-11-13,1:11:14,1:52:42
2025-11-14,0:15:41,2:20:04
2025-11-14,3:18:27,4:35:49
2025-11-15,0:13:09,2:05:38
2025-11-15,3:27:52,5:23:23
2025-11-16,0:01:22,0:38:48
2025-11-19,0:22:47,2:15:44
2025-11-19,3:22:39,4:47:39
2025-11-20,0:19:43,2:18:24
2025-11-20,3:20:41,4:24:58
2025-11-20,21:00:44,23:12:07
2025-11-21,0:20:08,1:13:42
2025-11-22,23:31:12,23:59:59
2025-11-23,0:00:00,1:25:40
2025-11-23,2:23:05,4:22:09
2025-11-23,21:52:29,23:05:18
2025-11-23,23:19:25,23:52:45
2025-11-24,1:33:56,3:21:00
2025-11-24,3:35:23,3:37:05
2025-11-29,17:41:46,19:43:40
2025-11-29,20:53:34,23:03:38
2025-11-29,23:35:54,23:59:59
2025-11-30,0:00:00,0:35:29
2025-12-04,0:16:40,1:11:03
2025-12-04,1:18:21,2:04:14
2025-12-04,23:59:31,23:59:52
2025-12-05,0:00:01,1:57:03
2025-12-05,3:20:38,5:17:38
2025-12-06,20:04:11,21:34:24
2025-12-06,23:51:40,23:59:58
2025-12-07,0:00:00,0:54:41
2025-12-07,1:05:38,1:56:08
2025-12-07,2:51:15,4:48:34
2025-12-09,21:38:57,23:39:11
2025-12-10,0:43:36,1:02:13
